1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Adventure|Animation|Children
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Comedy
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,Get Shorty (1995),Comedy|Crime|Thriller
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,Assassins (1995),Action|Crime|Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Children|Drama
27,Persuasion (1995),Drama|Romance
